CROWD LSTM EXPERIMENT REPORT
Runs: 10 | Seeds: 42, 43, 44, 45, 46, 47, 48, 49, 50, 51
Output directory: C:\Users\12575\Desktop\Baseline Model\Result_0623_0210
==============================================================================

1. OVERALL METRICS (Mean +/- Std)
------------------------------------------------------------------------------
  MAE   : 1036.29 +/- 76.53
  RMSE  : 1440.81 +/- 83.42
  MAPE  : 8.53 +/- 1.31%
  R2    : 0.9936 +/- 0.0007

2. PER-STATION METRICS (Mean +/- Std)
------------------------------------------------------------------------------

  [ikebukuro]
    MAE   : 1470.46 +/- 110.45
    RMSE  : 1959.04 +/- 136.31
    MAPE  : 7.17 +/- 0.88%
    R2    : 0.9815 +/- 0.0026

  [nihonbashi]
    MAE   : 848.83 +/- 132.98
    RMSE  : 1178.70 +/- 145.55
    MAPE  : 11.23 +/- 1.94%
    R2    : 0.9968 +/- 0.0008

  [shibuya]
    MAE   : 720.52 +/- 89.19
    RMSE  : 948.87 +/- 116.36
    MAPE  : 7.49 +/- 1.59%
    R2    : 0.9945 +/- 0.0014

  [shinjuku]
    MAE   : 1105.34 +/- 99.90
    RMSE  : 1461.03 +/- 144.06
    MAPE  : 8.24 +/- 1.56%
    R2    : 0.9947 +/- 0.0010

3. GLOBAL HOURLY METRICS (Mean +/- Std)
------------------------------------------------------------------------------
Hour |                MAE |               RMSE |               MAPE
    0022 |  728.43 +/- 165.97 |  894.03 +/- 194.02 |     6.16 +/- 1.49%
    0023 |  844.79 +/- 331.47 |  952.12 +/- 311.57 |    12.49 +/- 4.94%

  [shinjuku]
      Hr |                MAE |               RMSE |               MAPE
    -------------------------------------------------------------------
    0000 |  946.93 +/- 287.92 | 1127.97 +/- 382.13 |    28.19 +/- 8.95%
    0001 |  421.95 +/- 168.57 |  513.42 +/- 238.65 |   26.91 +/- 11.08%
    0002 |  328.79 +/- 126.05 |  373.05 +/- 153.29 |    20.69 +/- 7.70%
    0003 |  398.85 +/- 182.86 |  441.91 +/- 187.35 |    21.43 +/- 9.82%
    0004 |  450.32 +/- 189.19 |  513.92 +/- 218.56 |   23.94 +/- 10.08%
    0005 |  519.70 +/- 309.68 |  603.59 +/- 342.18 |   17.83 +/- 10.56%
    0006 |  662.17 +/- 360.06 |  884.81 +/- 470.98 |    11.99 +/- 6.53%
    0007 | 1129.01 +/- 733.67 | 1253.14 +/- 756.02 |     8.33 +/- 5.40%
    0008 | 1620.05 +/- 781.18 | 2040.07 +/- 872.07 |     5.77 +/- 2.78%
    0009 |  642.88 +/- 204.37 |  786.48 +/- 282.91 |     1.72 +/- 0.55%
    0010 | 1494.52 +/- 279.03 | 1669.57 +/- 243.05 |     3.59 +/- 0.67%
    0011 | 1117.26 +/- 507.96 | 1235.06 +/- 459.80 |     2.52 +/- 1.14%
    0012 | 2610.67 +/- 720.49 | 2662.86 +/- 715.04 |     5.26 +/- 1.45%
    0013 | 1504.95 +/- 569.89 | 1580.95 +/- 553.59 |     2.96 +/- 1.12%
    0014 |  813.83 +/- 270.43 |  969.15 +/- 313.75 |     1.63 +/- 0.55%
    0015 |  986.63 +/- 366.00 | 1134.17 +/- 423.46 |     1.97 +/- 0.73%
    0016 | 1090.48 +/- 402.68 | 1272.71 +/- 434.49 |     2.15 +/- 0.79%
    0017 | 1168.44 +/- 370.27 | 1346.88 +/- 434.32 |     2.18 +/- 0.69%
    0018 | 2381.89 +/- 710.34 | 2642.01 +/- 758.70 |     4.37 +/- 1.30%
    0019 | 1092.06 +/- 448.34 | 1344.38 +/- 525.79 |     2.23 +/- 0.89%
    0020 | 1281.82 +/- 372.05 | 1432.43 +/- 422.79 |     3.44 +/- 1.02%
    0021 | 1241.65 +/- 510.34 | 1420.26 +/- 545.21 |     4.29 +/- 1.73%
    0022 | 1150.19 +/- 503.38 | 1287.91 +/- 512.54 |     6.50 +/- 2.89%
    0023 |  568.69 +/- 200.14 |  693.01 +/- 245.34 |     6.01 +/- 2.24%

==============================================================================
